상품명,가격,할인율,평점,용량,원재료명및함량,URL
오메가케어 30일 (원산지:상세설명참조),"45,000원",10%,4.7,적당해요,"정제어유(정제어유,D-토코페롤)(노르웨이산), 밀납, 보라지유(영국산), 레몬오일, D-α-토코페롤 캡슐기제 젤라틴, 글리세린, D-소르비톨액, 카카오색소, 오징어 먹물색소 대두, 돼지고기, 오징어, 고등어 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=21406
메타그린 슬림업 (60일) (원산지:상세설명참조),"52,000원",20%,4.8,용량 넉넉해요,"녹차추출물분말(인도산), 판토텐산칼슘, 비타민C, 치커리뿌리추출물(벨기에산), 프탈산히드록시프로필메틸셀룰로오스, 스테아린산마그네슘, 제삼인산칼슘, 글리세린초산지방산에스테르, 구아검",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64888
슈퍼콜라겐 골드(100일) (원산지:상세설명참조),"342,000원",10%,4.9,적당해요,"AP콜라겐효소분해펩타이드, N-아세틸글루코사민(홍게(국산)), 니코틴산아미드, 황산망간, 비오틴, 정제수, 저분자콜라겐펩타이드-타입Ⅰ, Ⅲ(베트남산), 저분자피쉬콜라겐(베트남산), 콜라겐펩타이드-SP, 구연산, 자일리톨(감미료), 콜라겐펩타이드-타입Ⅱ, 체리라임향혼합제제(프로필렌글리콜, 글리세린, 주정, 트리아세틴, 합성향료, 정제수, 초산, 레몬오일, 비타민E), 맥아추출분말, 비타민C, 함초소금(천일염, 통통마디추출액), 수크랄로스(감미료), 젤란검, 아세설팜칼륨(감미료), 스테비올배당체(감미료), 난각막콜라겐, 호박씨앗추출분말, 엘라스틴펩타이드, 녹차다당체분말, 밀크세라마이드, 히알루론산혼합제제(덱스트린, 히알루론산) 난류(가금류), 게, 닭고기, 우유 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62889
굿슬립 가바 365 (30일) 식약처 인정 수면기능성 (원산지:상세설명참조),"25,900원",30%,4.7,용량 넉넉해요,"L-글루탐산발효 가바분말(국내산), 니코틴산아미드, 결정셀룰로오스, 제이인산칼슘, 히드록시프로필메틸셀룰로오스혼합제제(히드록시프로필셀룰로스, 히드록시프로필메틸셀룰로스), 목화씨유분말(경화유)(미국산), 제삼인산칼슘, L아르기닌, 타트체리농축분말(타트체리농축액(폴란드산)), 산화마그네슘, 말토덱스트린혼합제제(말토덱스트린, 해바라기레시틴, 팜올레인, 구아검)",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53654
슈퍼콜라겐 프리미엄(28일) (원산지:상세설명참조),"103,500원",10%,4.8,적당해요,"AP콜라겐효소분해펩타이드,혼합제제(아셀렌산나트륨, 옥수수말토덱스트린),나이아신,비오틴,정제수,자일리톨,레몬농축액(이스라엘산),프락토올리고당,구연산,라즈베리향(프로필렌글리콜,합성향료),구연산삼나트륨,세븐베리농축액(블랙베리농축액(미국산),블루베리농축액(미국산)),비타민C,스테비올배당체,젖산칼슘,젤란검,밀크세라마이드(뉴질랜드산),L-시스테인염산염,히알루론산혼합제제(덱스트린,히알루론산), 엘라스틴펩타이드,녹차다당체분말, 우유함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=54659
슈퍼에센셜 (7일) (원산지:상세설명참조),"13,900원",50%,4.9,용량 넉넉해요,"AP콜라겐효소분해펩타이드, 비타민C, 푸마르산제일철, 셀레늄혼합제제(아셀렌산나트륨, 옥수수말토덱스트린), 비타민B12혼합분말(비타민B12, 말토덱스트린, 구연산삼나트륨, 구연산), 비타민B1염산염, 니코틴산아미드, 비타민B2, 판토텐산칼슘, 비타민D3혼합제제(비타민D3, 아라비아검, 자당, 옥수수전분, 가공유지, 이산화규소, 비타민E), 비타민B6염산염, 엽산, 비오틴, 정제수, 자일리톨(감미료), 레몬농축액(이스라엘산), 결정셀룰로스, 글루코노-δ-락톤, 히드록시프로필메틸셀룰로스 혼합제제(히드록시프로필메틸셀룰로스, 이소말트(감미료), 탄산칼슘, 스테아린산), 무수구연산, 합성향료(포도향), 스테아린산마그네슘, L-시스틴, 스테아린산, 히드록시프로필메틸셀룰로스, 가교카복시메틸셀룰로스나트륨, 맥아추출분말(영국산), 말토덱스트린 혼합제제(말토덱스트린, 해바라기 레시틴, 해바라기유, 구아검), 제삼인산칼슘, 젤란검, 포도농축액(미국산), 함초소금(천일염, 퉁퉁마디추출액), 밀크세라마이드, 수크랄로스(감미료), 아세설팜칼륨(감미료), 건조효모(크롬), 산화아연, 비타민A혼합제제(말토덱스트린, 옥수수전분, 아라비아검, 비타민A 아세테이트, 비타민E), 스테비올배당체(감미료), 히알루론산, 엘라스틴펩타이드, 황산망간, 글루콘산동, 비타민E혼합제제(dl-α-토코페릴아세테이트, 옥테닐호박산나트륨전분, 정제수, 이산화규소), 녹차다당분말, 비타민K1혼합제제(아라비아검, 자당, 비타민K1) 대두, 우유 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63950
트루아이(30일) (원산지:상세설명참조),"54,000원",10%,4.7,용량 넉넉해요,"""정제어유(정제어유, d-토코페롤(혼합형))(노르웨이산), 마리골드꽃추출물(마리골드꽃추출물, 해바라기유, dl-α-토코페롤)(인도산), 헤마토코쿠스추출물(헤마토코쿠스추출물, 압착올리브유, 비타민E), 건조효모(셀렌), d-α-토코페롤, 비타민A혼합제제(유성비타민A지방산에스테르, 땅콩오일, dl-α-토코페롤), 비타 민B6염산염, 밀납, 대두레시틴(인도산), 레시틴,녹차추출물 캡슐기제- 젤라틴, 글리세린, 프탈산히드록시프로필메틸셀룰로오스, D-소비톨, 트리아세틴, 카카오색소, 오렌지오일 대두, 땅콩, 쇠고기, 고등어 함유""",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=20371
슈퍼에센셜 (28일) (원산지:상세설명참조),"69,300원",30%,4.8,적당해요,"AP콜라겐효소분해펩타이드, 비타민C, 푸마르산제일철, 셀레늄혼합제제(아셀렌산나트륨, 옥수수말토덱스트린), 비타민B12혼합분말(비타민B12, 말토덱스트린, 구연산삼나트륨, 구연산), 비타민B1염산염, 니코틴산아미드, 비타민B2, 판토텐산칼슘, 비타민D3혼합제제(비타민D3, 아라비아검, 자당, 옥수수전분, 가공유지, 이산화규소, 비타민E), 비타민B6염산염, 엽산, 비오틴, 정제수, 자일리톨(감미료), 레몬농축액(이스라엘산), 결정셀룰로스, 글루코노-δ-락톤, 히드록시프로필메틸셀룰로스 혼합제제(히드록시프로필메틸셀룰로스, 이소말트(감미료), 탄산칼슘, 스테아린산), 무수구연산, 합성향료(포도향), 스테아린산마그네슘, L-시스틴, 스테아린산, 히드록시프로필메틸셀룰로스, 가교카복시메틸셀룰로스나트륨, 맥아추출분말(영국산), 말토덱스트린 혼합제제(말토덱스트린, 해바라기 레시틴, 해바라기유, 구아검), 제삼인산칼슘, 젤란검, 포도농축액(미국산), 함초소금(천일염, 퉁퉁마디추출액), 밀크세라마이드, 수크랄로스(감미료), 아세설팜칼륨(감미료), 건조효모(크롬), 산화아연, 비타민A혼합제제(말토덱스트린, 옥수수전분, 아라비아검, 비타민A 아세테이트, 비타민E), 스테비올배당체(감미료), 히알루론산, 엘라스틴펩타이드, 황산망간, 글루콘산동, 비타민E혼합제제(dl-α-토코페릴아세테이트, 옥테닐호박산나트륨전분, 정제수, 이산화규소), 녹차다당분말, 비타민K1혼합제제(아라비아검, 자당, 비타민K1) 대두, 우유 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63893
메타그린 골드 플러스 (30일) (원산지:상세설명참조),"58,500원",10%,4.8,용량 넉넉해요,"녹차추출물(인도산), 은행잎추출물(인도산), 바나바잎추출물(인도산), 치커리추출물, 프탈산히드록시프로필메틸셀룰로오스, 비타민C, 발효추차추출분말, 혼합제제(히드록시프로필셀룰로오스, 히드록시프로필메틸셀룰로오스), 스테아린산마그네슘, 제삼인산칼슘, 양파추출물, 글리세린지방산에스테르, 건조효모(크롬), 코엔자임Q10, 구아검, 혼합제제(덱스트린, 에틸셀룰로스, d-토코페롤, 중쇄중성지방, 비타민D3)",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61550
명작수 골드(100일) (원산지:상세설명참조),"504,000원",10%,4.9,,"홍삼농축액(국산)(원료삼배합비율:홍삼근70%, 홍미삼30%), 글루콘산아연, 니코틴산아미드, 정제수, 말토올리고당, 청포도농축액(미국산), 난소화성말토덱스트린(외국산(러시아, 헝가리, 세르비아 등)), 푸룬농축액(미국산), 벌꿀(아카시아꿀)(국산), 인삼열매농축액(국산), 오미자추출농축액(국산), L-아르기닌",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=44190
명작수 골드(50일) (원산지:상세설명참조),"288,000원",10%,4.9,적당해요,"홍삼농축액(국산)(원료삼배합비율:홍삼근70%, 홍미삼30%), 글루콘산아연, 니코틴산아미드, 정제수, 말토올리고당, 청포도농축액(미국산), 난소화성말토덱스트린(외국산(러시아, 헝가리, 세르비아 등)), 푸룬농축액(미국산), 벌꿀(아카시아꿀)(국산), 인삼열매농축액(국산), 오미자추출농축액(국산), L-아르기닌",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=21476
메타그린 골드 플러스 패밀리 기획세트 (180일) (원산지:상세설명참조),"270,000원",10%,4.9,용량 넉넉해요,"녹차추출물(인도산), 은행잎추출물(인도산), 바나바잎추출물(인도산), 치커리추출물, 프탈산히드록시프로필메틸셀룰로오스, 비타민C, 발효추차추출분말, 혼합제제(히드록시프로필셀룰로오스, 히드록시프로필메틸셀룰로오스), 스테아린산마그네슘, 제삼인산칼슘, 양파추출물, 글리세린지방산에스테르, 건조효모(크롬), 코엔자임Q10, 구아검, 혼합제제(덱스트린, 에틸셀룰로스, d-토코페롤, 중쇄중성지방, 비타민D3)",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64796
슈퍼콜라겐 골드(30일) (원산지:상세설명참조),"126,000원",10%,4.8,적당해요,"AP콜라겐효소분해펩타이드, N-아세틸글루코사민(홍게(국산)), 니코틴산아미드, 황산망간, 비오틴, 정제수, 저분자콜라겐펩타이드-타입Ⅰ, Ⅲ(베트남산), 저분자피쉬콜라겐(베트남산), 콜라겐펩타이드-SP, 구연산, 자일리톨(감미료), 콜라겐펩타이드-타입Ⅱ, 체리라임향혼합제제(프로필렌글리콜, 글리세린, 주정, 트리아세틴, 합성향료, 정제수, 초산, 레몬오일, 비타민E), 맥아추출분말, 비타민C, 함초소금(천일염, 통통마디추출액), 수크랄로스(감미료), 젤란검, 아세설팜칼륨(감미료), 스테비올배당체(감미료), 난각막콜라겐, 호박씨앗추출분말, 엘라스틴펩타이드, 녹차다당체분말, 밀크세라마이드, 히알루론산혼합제제(덱스트린, 히알루론산) 난류(가금류), 게, 닭고기, 우유 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58944
NEW 슈퍼시카 B5 (30입) (원산지:상세설명참조),"22,400원",20%,4.8,적당해요,"리포좀 시카 B5(판토텐산)(밀크세라마이드(버터유분말(독일산)), 자일리톨(감미료), 판토텐산칼슘, 비타민C, 시클로덱스트린시럽, 말티톨시럽(감미료), 니코틴산아미드, 건조효모(셀렌)(캐나다산), 비타민D3혼합제제(아라비아검, 설탕, 옥수수전분, 폴리글리세린지방산에스테르, 이산화규소, 비타민D3, 비타민E), 레시틴, 비오틴혼합제제(제이인산칼슘, 비오틴), 수크랄로스(감미료), 락토바이탈 PDRN, 병풀추출물, 어성초추출분말, 히비스커스추출혼합분말), 자일리톨(감미료), 에리스리톨(감미료), 효소처리스테비아1(감미료), 리치향, Lactiplantibacillus plantarum APSulloc 331261, 레몬과즙분말(레몬과즙(이탈리아산)), 요구르트향분말(요구르트향(이탈리아산), 요거트분말(이탈리아산)), 효소처리스테비아2(감미료), 글루코노-δ-락톤, 구연산, 탄산수소나트륨, 레몬향혼합제제(덱스트린, 레몬오일, 아라비아검, 구연산, 펙틴, 구연산삼나트륨), 제삼인삼칼슘, 수크랄로스(감미료) 우유함유 당알코올(자일리톨 36.25%, 에리스리톨 7%, 말티톨시럽 1.03%), 당알코올 함유 제품으로 과량 섭취 시 설사를 일으킬 수 있습니다.",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66411
액티브멀티팩 기획세트 (180일) (원산지:상세설명참조),"252,000원",10%,4.8,,"비타민C혼합제제(아스코르빈산칼슘, DL-트레오닌), 글루콘산아연, 판토텐산칼슘, 푸마르산제일철, 니코틴산아미드, 건조효모(셀렌)(캐나다산), 비타민E혼합제제(dl-α-토코페릴아세테이트, 옥테닐호박산나트륨전분, 정제수, 이산화규소), 비타민B1염산염, 비타민B2, 비타민B6염산염, 비타민D3혼합제제(비타민D3, 설탕, 아라비아검, 옥수수전분, 가공유지, 이산화규소, 비타민E), 건조효모(크롬), 황산망간, 비타민B12혼합분말(비타민B12, 덱스트린, 구연산삼나트륨, 구연산), 엽산, D-비오틴, 결정셀룰로스, 제삼인산칼슘, 펄스에너지처리녹차분말(국산), 프탈산히드록시프로필메틸셀룰로오스, 히드록시프로필메틸셀룰로스, 산화마그네슘, 스테아린산마그네슘, 혼합제제(히드록시프로필셀룰로스, 이산화규소), 옥수수전분(미국산), 스테아린산, 가교카르복시메틸셀룰로스나트륨, 카르복시메틸셀룰로오스칼슘, 글리세린지방산에스테르, 석류농축액분말, 울금추출물, 덱스트린, 혼합제제(말토덱스트린, 옥수수전분, 아라비아검, 비타민A아세테이트, 비타민E) 대두 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64798
리버프라임(30일) (원산지:상세설명참조),"49,500원",10%,4.7,적당해요,"밀크씨슬추출물분말(이탈리아산), D-α-토코페롤, 비타민B1염산염, 비타민B2, 키토올리고당분말(게(베트남산)), 대두유(외국산: 아르헨티나, 미국, 브라질 등), 유당, 혼합제제(히드록시프로필메틸셀룰로스, 이소말트, 탄산칼슘, 스테아린산), 대두레시틴(고시형), 결정셀룰로오스, 밀납, 대두레시틴, 카르복시메틸셀룰로오스칼슘, 이산화규소, 스테아린산마그네슘, 치자황색소, 카카오색소 *캡슐기제- 젤라틴, 글리세린, D-소르비톨액, 안나토색소 대두, 게, 우유, 돼지고기 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=19178
조이스텝 골드 (30일) (원산지:상세설명참조),"58,500원",10%,4.7,적당해요,"타마린드강황주정추출복합물(Tamaflexⓡ)(타마린드추출물, 강황추출물, 결정젤룰로스, 인산화규소/인도산), 건조효모(크롬), 비타민D3혼합제제(비타민D3, 아라비아검, 자당, 옥수수전분, 중쇄중성지방, 이산화규소, 비타민E), 산화아연, 결정셀룰로스, 흰버드나무추출분말(인도산), 혼합제제(히드록시프로필메틸셀룰로스, 이소말토, 탄산칼슘, 스테아린산), 가교카복시메틸셀룰로스나트륨, 치커리뿌리추출분말(벨기에산), 제삼인산칼슘, 스테아린산마그네슘, 비타민k2혼합분말, 치자황색소, 연어코연골분말, 필발열매추출분말, 구아검",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=14998
올인원 멀티팩(60일) (원산지:상세설명참조),"243,000원",10%,5.0,적당해요,"정제어유(정제어유, d-토코페롤)(노르웨이산), 제이인산칼슘, 비타민C혼합제제(비타민C, 감귤껍질추출물, 쌀겨왁스), 산화마그네슘, 코엔자임Q10, 마리골드꽃추출물(인도산), 건조효모(셀렌)(캐나다산), 비타민E혼합제제(dl-α-토코페릴아 세테이트, 옥테닐호박산나트륨전분, 정제수, 이산화규소), 비타민B1염산염, 비타민B2, 산화아연, 건조효모(크롬), 푸마르산제일철, 비타민D3혼합제제(비타민D3, 아라비아검, 설탕, 옥수수전분, 가 공유지, 이산화규소, 비타민E), 니코틴산아미드, 비타민A아세테이트(비타민A아세테이트, 말토덱스트린, 옥수수전분, 아라비아검, 비타민E), 판토텐산칼슘, 비오틴혼합제제(비오틴, 제이인산칼슘), 비타민B6염산염, 글루콘산동, 황산망간, 비타민B12혼합제제(비타민B12, 말토덱스트린, 구연산삼나트륨, 구연산), 비타 민K1혼합제제(비타민K1, 아라비아검, 설탕), 엽산, 결정셀룰로오 스, 아보카도오일(멕시코산), 치커리뿌리추출물(칠레산), 히드록 시프로필메틸셀룰로오스혼합제제(히드록시프로필메틸셀룰로스, 이소말트(감미료), 탄산칼슘, 스테아린산), 히드록시프로필셀룰로스혼합제제1(히드록시프로필셀룰로스, 이산화규소), 밀납, 스테아린산마그네슘, 가교카복시메틸셀룰로스나트륨, 말토덱스트린혼합제제(말토덱스트린, 해바라기레시틴, 팜올레인유, 구아검), 대두레시틴, 히드록시프로필셀룰로스혼합제제2(히드록시프로필 셀룰로스, 이산화규소), 후추추출물, 레몬오일, 홍화황색소, 치자청색소 캡슐기제 - 젤라틴, 글리세린, 아미드펙틴, D-소비톨(감미료), 안나토색소, 카카오색소, 염화칼슘 대두, 돼지고기 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66695
트루아이 기획세트 (180일) (원산지:상세설명참조),"252,000원",10%,4.8,적당해요,"정제어유(정제어유, 비타민E)(칠레산), 마리골드꽃추출물(마리골드꽃추출물, 해바라기유, dl-α-토코페롤)(인도산), 헤마토코쿠스추출물(헤마토코쿠스추출물, 압착올리브유, 비타민E), 건조효모(셀렌), d-α-토코페롤, 비타민A혼합제제(유성비타민A지방산에스테르, 땅콩오일, dl-α-토코페롤), 비타민B6염산염, 밀납, 대두레시틴(인도산), 레시틴, 녹차추출물 캡슐기제 - 젤라틴, 글리세린, 프탈산히드 록시프로필메틸셀룰로오스, D-소비톨, 트리아세틴,카카오색소, 오렌지오일 대두, 땅콩, 쇠고기 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64801
